Z,Simple,Frugal,Super,Every
0,0,0,0,0
0.05,0.375,0.375,0.381,0.388
0.1,1.154,1.154,1.192,1.231
0.15,2.202,2.202,2.306,2.42
0.2,3.455,3.455,3.668,3.909
0.25,4.876,4.876,5.241,5.669
0.3,6.434,6.434,6.999,7.682
0.35,8.11,8.11,8.92,9.933
0.4,9.886,9.886,10.989,12.409
0.45,11.75,11.75,13.189,15.1
0.5,13.689,13.689,15.511,17.999
0.55,15.695,15.695,17.943,21.098
0.6,17.761,17.761,20.476,24.39
0.65,19.88,19.88,23.103,27.871
0.7,22.046,22.046,25.817,31.535
0.75,24.255,24.255,28.611,35.378
0.8,26.503,26.503,31.479,39.395
0.85,28.785,28.785,34.418,43.584
0.9,31.1,31.1,37.421,47.94
0.95,33.444,33.444,40.486,52.461
1,35.814,35.814,43.608,57.143
1.05,38.209,38.209,46.784,61.984
1.1,40.627,40.627,50.011,66.981
1.15,43.065,43.065,53.285,72.132
1.2,45.523,45.523,56.604,77.434
1.25,47.998,47.998,59.967,82.886
1.3,50.49,50.49,63.369,88.485
1.35,52.998,52.998,66.81,94.229
1.4,55.52,55.52,70.287,100.117
1.45,58.055,58.055,73.799,106.147
1.5,60.603,60.603,77.343,112.317
1.55,63.162,63.162,80.919,118.626
1.6,65.733,65.733,84.524,125.073
1.65,68.314,68.314,88.158,131.654
1.7,70.905,70.905,91.818,138.37
1.75,73.505,73.505,95.505,145.22
1.8,76.113,76.113,99.216,152.201
1.85,78.73,78.73,102.95,159.312
1.9,81.354,81.354,106.707,166.553
1.95,83.986,83.986,110.486,173.921
2,86.625,86.625,114.286,181.417
2.05,91.092,91.092,118.223,189.157
2.1,95.598,95.598,122.311,197.154
2.15,100.141,100.141,126.512,205.369
2.2,104.72,104.72,130.806,213.783
2.25,109.331,109.331,135.183,222.384
2.3,113.974,113.974,139.633,231.164
2.35,118.648,118.648,144.149,240.114
2.4,123.349,123.349,148.725,249.229
2.45,128.078,128.078,153.357,258.504
2.5,132.833,132.833,158.04,267.933
2.55,137.612,137.612,162.771,277.514
2.6,142.415,142.415,167.546,287.242
2.65,147.241,147.241,172.362,297.114
2.7,152.088,152.088,177.217,307.128
2.75,156.955,156.955,182.108,317.28
2.8,161.842,161.842,187.034,327.569
2.85,166.748,166.748,191.993,337.992
2.9,171.672,171.672,196.982,348.548
2.95,176.613,176.613,202,359.233
3,181.571,181.571,207.045,370.047
3.05,186.545,186.545,212.117,380.987
3.1,191.534,191.534,217.214,392.053
3.15,196.537,196.537,222.335,403.242
3.2,201.555,201.555,227.478,414.553
3.25,206.586,206.586,232.642,425.985
3.3,211.631,211.631,237.828,437.537
3.35,216.688,216.688,243.033,449.208
3.4,221.757,221.757,248.257,460.995
3.45,226.838,226.838,253.499,472.899
3.5,231.93,231.93,258.758,484.918
3.55,237.033,237.033,264.034,497.051
3.6,242.147,242.147,269.327,509.297
3.65,247.27,247.27,274.634,521.656
3.7,252.404,252.404,279.956,534.126
3.75,257.547,257.547,285.293,546.707
3.8,262.699,262.699,290.643,559.397
3.85,267.86,267.86,296.007,572.197
3.9,273.03,273.03,301.383,585.104
3.95,278.207,278.207,306.772,598.12
4,283.393,283.393,312.172,611.242
4.05,239.175,290.329,318.656,625.548
4.1,251.56,298.177,326.049,640.89
4.15,264.124,306.698,334.115,657.046
4.2,276.862,315.788,342.747,673.925
4.25,289.769,325.378,351.879,691.469
4.3,302.839,335.419,361.461,709.64
4.35,316.069,345.871,371.454,728.407
4.4,329.454,356.704,381.826,747.745
4.45,342.989,367.889,392.551,767.634
4.5,356.67,379.404,403.605,788.057
4.55,370.494,391.228,414.968,808.999
4.6,384.456,403.343,426.623,830.447
4.65,398.553,415.733,438.554,852.389
4.7,412.781,428.384,450.745,874.815
4.75,427.137,441.281,463.185,897.716
4.8,441.618,454.414,475.86,921.083
4.85,456.221,467.77,488.761,944.908
4.9,470.942,481.341,501.877,969.183
4.95,485.779,495.115,515.199,993.902
5,500.729,509.085,528.718,1019.059
5.05,518.268,525.322,544.507,1044.822
5.1,535.965,541.855,560.593,1071.199
5.15,553.814,558.67,576.963,1098.122
5.2,571.813,575.755,593.607,1125.557
5.25,589.958,593.099,610.511,1153.482
5.3,608.246,610.691,627.667,1181.878
5.35,626.672,628.521,645.063,1210.731
5.4,645.234,646.581,662.692,1240.03
5.45,663.929,664.861,680.545,1269.765
5.5,682.754,683.353,698.613,1299.927
5.55,701.705,702.049,716.889,1330.508
5.6,720.78,720.943,735.366,1361.501
5.65,739.977,740.027,754.037,1392.9
5.7,759.292,759.294,772.895,1424.699
5.75,778.723,778.739,791.935,1456.894
5.8,798.267,798.355,811.151,1489.478
5.85,817.923,818.138,830.536,1522.448
5.9,837.687,838.081,850.087,1555.8
5.95,857.558,858.179,869.798,1589.529
6,877.533,878.428,889.664,1623.632
