Z,Simple,Frugal,Super,Bed,Every
35.79,0,0,0,0,0
35.84,0.884,0.884,0.884,0.884,0.984
35.89,4.205,4.205,4.263,4.205,4.682
35.94,9.803,9.803,10.088,9.803,11.324
35.99,17.605,17.605,17.893,17.605,21.392
36.04,26.937,26.937,27.017,26.977,36.51
36.09,48.419,48.419,48.841,48.803,59.144
36.14,78.4,78.4,79.574,79.631,88.999
36.19,114.827,114.827,116.26,116.492,125.186
36.24,156.834,156.834,158.65,159.152,167.337
36.29,203.59,203.59,206.118,206.994,214.802
36.34,255.185,255.185,258.425,259.786,267.513
36.39,311.009,311.009,315.256,317.218,325.092
36.44,370.816,370.816,376.401,379.085,387.328
36.49,434.393,434.393,441.685,445.214,454.046
36.54,504.143,504.143,512.476,516.978,525.467
36.59,578.257,578.257,587.746,593.347,601.622
36.64,655.951,655.951,666.971,673.802,682.089
36.69,737.068,737.068,750.008,758.199,766.664
36.74,822.229,822.229,837.009,846.69,855.355
36.79,914.396,914.396,929.962,939.666,948.488
36.84,1011.877,1011.877,1028.008,1037.106,1046.226
36.89,1112.999,1112.999,1129.867,1138.663,1148.225
36.94,1217.663,1217.663,1235.438,1244.14,1254.292
36.99,1325.772,1325.772,1344.627,1353.397,1364.29
37.04,1437.239,1437.239,1457.348,1466.321,1478.111
37.09,1551.978,1551.978,1573.524,1582.815,1595.66
37.14,1669.912,1669.912,1693.082,1702.796,1716.859
37.19,1790.964,1790.964,1815.955,1826.189,1841.635
37.24,1915.065,1915.065,1942.081,1952.928,1969.924
37.29,2042.146,2042.146,2071.402,2082.95,2101.667
37.34,2172.143,2172.143,2203.865,2216.201,2236.812
37.39,2304.995,2304.995,2339.417,2352.628,2375.307
37.44,2440.643,2440.643,2478.011,2492.182,2517.106
37.49,2579.349,2579.349,2619.776,2634.89,2662.874
37.54,2720.773,2720.773,2764.511,2780.645,2811.983
37.59,2864.864,2864.864,2912.173,2929.407,2964.392
37.64,3011.573,3011.573,3062.724,3081.138,3120.066
37.69,3160.853,3160.853,3216.128,3235.801,3278.97
37.74,3312.658,3312.658,3372.349,3393.361,3441.071
37.79,3466.944,3466.944,3531.354,3553.786,3606.337
37.84,3628.482,3628.482,3696.639,3720.573,3774.993
37.89,3794.672,3794.672,3866.319,3891.837,3947.334
37.94,3963.443,3963.443,4038.874,4066.058,4123.12
37.99,4134.751,4134.751,4214.265,4243.2,4302.235
38.04,4308.554,4308.554,4392.459,4423.227,4484.597
38.09,4484.813,4484.813,4573.421,4606.107,4670.144
38.14,4663.488,4663.488,4757.118,4791.809,4858.822
38.19,4844.54,4844.54,4943.522,4980.301,5050.585
38.24,5027.934,5027.934,5132.601,5171.555,5245.393
38.29,5220.717,5220.717,5329.533,5369.305,5443.631
38.34,5416.758,5416.758,5529.798,5570.322,5645.409
38.39,5615.243,5615.243,5732.79,5774.157,5850.483
38.44,5816.136,5816.136,5938.479,5980.776,6058.735
38.49,6019.4,6019.4,6146.835,6190.146,6270.081
38.54,6225.001,6225.001,6357.828,6402.236,6484.456
38.59,6432.905,6432.905,6571.431,6617.016,6701.808
38.64,6643.079,6643.079,6787.616,6834.46,6922.09
38.69,6855.491,6855.491,7006.359,7054.539,7145.265
38.74,7070.11,7070.11,7227.635,7277.227,7371.296
38.79,7286.905,7286.905,7451.42,7502.502,7600.152
38.84,7505.846,7505.846,7677.691,7730.338,7831.804
38.89,7511.097,7726.952,7906.473,7871.034,8066.274
38.94,7447.207,7957.559,8141.883,8028.426,8305.205
38.99,7343.625,8192.098,8381.447,8208.74,8548.652
39.04,7579.709,8431.388,8625.989,8459.023,8796.992
39.09,7799.11,8649.466,8877.782,8706.093,9050.368
39.14,7501.912,8859.593,9130.348,8876.05,9308.61
39.19,7475.28,9077.923,9392.008,9103.709,9573.189
39.24,7372.741,9309.079,9660.18,9337.004,9845.745
39.29,7367.222,9546.291,9936.439,9589.802,10126.531
39.34,7552.009,9768.22,10223.778,9867.849,10415.686
39.39,7403.799,9958.268,10514.984,10081.826,10713.567
39.44,7256.267,10187.363,10821.584,10346.543,11022.436
